Title,DOI,Journal,Published on,Policy citation count,Type,Publisher,Authors,Your tags,ORCIDs
Genomic surveillance of SARS-CoV-2 reveals highest severity and mortality of delta over other variants: evidence from Cameroon,10.1038/s41598-023-48773-3,Scientific Reports,12/8/2023,2,journal-article,Springer Nature,"Richard Njouom - Centre Pasteur du Cameroun; Richard Njouom - Ministry of Public Health; Sara Eyangoh - Centre Pasteur du Cameroun; Sara Eyangoh - Ministry of Public Health; Bryan Tegomoh - Berkeley Public Health Division; Bryan Tegomoh - University of California, Berkeley; John Otokoye Otshudiema - WWF Cameroon; Julius Nwobegahay - Ministry of Public Health; Lucy Ndip - University of Buea; Blaise Akenji - Ministry of Public Health; Desiré Takou - Centre International De Reference Chantal Biya; Valantine Ngum Ndze - University of Buea; Sandrine Chimène Douyong Tonmeu - Ministry of Public Health; Dorine Ngono - Berkeley Public Health Division; Dorine Ngono - University of California, Berkeley; John N Nkengasong - Africa Centres for Disease Control and Prevention; Nicaise Ndembi - Africa Centres for Disease Control and Prevention; Anne-Cecile Z K Bissek - University of Buea; Anne-Cecile Z K Bissek - Ministry of Public Health; Christian Mouangue - Ministry of Public Health; Sandrine Kamso Belinga - Ministry of Public Health; Ahidjo Ayouba - Institut de Recherche pour le Développement; Nicolas Fernandez - Institut de Recherche pour le Développement; Vittorio Colizzi - University of Rome Tor Vergata; Vittorio Colizzi - Centre International De Reference Chantal Biya; Gregory Halle-Ekane - University of Buea; C.F Perno - Centre International De Reference Chantal Biya; C.F Perno - Bambino Gesù Children's Hospital; Alexis Ndjolo - Centre International De Reference Chantal Biya; Alexis Ndjolo - Université de Yaoundé I; Clement B Ndongmo - Ministry of Public Health; Judith Shang - Ministry of Public Health; Linda Esso - Ministry of Public Health; Oliviera de-Tulio - Stellenbosch University; Oliviera de-Tulio - University of KwaZulu-Natal; Moussa Moïse Diagne - Institut Pasteur de Dakar; Alex Durand Nka - Centre International De Reference Chantal Biya; Alex Durand Nka - Université de Yaoundé I",,
"Vaccine Effectiveness Against Influenza A–Associated Hospitalization, Organ Failure, and Death: United States, 2022–2023",10.1093/cid/ciad677,Clinical Infectious Diseases,12/5/2023,1,journal-article,Oxford University Press (OUP),"Nathaniel M Lewis - National Center for Immunization and Respiratory Diseases; Nathaniel M Lewis - Centers for Disease Control and Prevention; Yuwei Zhu - Vanderbilt University Medical Center; Ithan D Peltan - Intermountain Medical Center; Ithan D Peltan - University of Utah; Manjusha Gaglani - Baylor Scott & White Medical Center - Temple; Manjusha Gaglani - Baylor Scott & White Health; Tresa McNeal - Baylor College of Medicine; Tresa McNeal - Baylor Scott & White Health; Shekhar Ghamande - Baylor Scott & White Health; Jay S Steingrub - Baystate Medical Center; Nathan I Shapiro - Beth Israel Deaconess Medical Center; Abhijit Duggal - Cleveland Clinic; William Bender - Emory University; Leyla Taghizadeh - Hennepin County Medical Center; Samuel M Brown - University of Utah; Samuel M Brown - Intermountain Medical Center; David N Hager - Johns Hopkins Medicine; David N Hager - Johns Hopkins University; Michelle N Gong - Albert Einstein College of Medicine; Michelle N Gong - Montefiore Medical Center; Amira Mohamed - The Ohio State University; Matthew C Exline - The Ohio State University; Akram Khan - Oregon Health & Science University; Jennifer G Wilson - Stanford University; Nida Qadir - University of California, Los Angeles; Steven Y Chang - University of California, Los Angeles; Adit A Ginde - University of Colorado Denver; Nicholas M Mohr - University of Iowa; Christopher Mallow - University of Miami; Adam S Lauring - University of Michigan–Ann Arbor; Nicholas J Johnson - University of Washington; Kevin W Gibbs - Wake Forest University; Jennie H Kwon - Washington University in St. Louis; Cristie Columbus - Baylor Scott & White Health; Robert L Gottlieb - Baylor University Medical Center; Robert L Gottlieb - Baylor Medical Center at Garland; Catherine Raver - Baylor Scott & White Health; Ivana A Vaughn - Henry Ford Health System; Mayur Ramesh - Henry Ford Health System; Cassandra Johnson - Vanderbilt University Medical Center; Lois Lamerato - Henry Ford Health System; Basmah Safdar - Yale University; Jonathan D Casey - Vanderbilt University Medical Center; Todd W Rice - Vanderbilt University Medical Center; Natasha Halasa - Vanderbilt University Medical Center; James D Chappell - Vanderbilt University Medical Center; Carlos G Grijalva - Vanderbilt University Medical Center; H Keipp Talbot - Vanderbilt University Medical Center; Adrienne Baughman - Vanderbilt University Medical Center; Kelsey N Womack - Vanderbilt University Medical Center; Sydney A Swan - Vanderbilt University Medical Center; Elizabeth Harker - National Center for Immunization and Respiratory Diseases; Elizabeth Harker - Centers for Disease Control and Prevention; Ashley M Price - National Center for Immunization and Respiratory Diseases; Ashley M Price - Centers for Disease Control and Prevention; Jennifer DeCuir - National Center for Immunization and Respiratory Diseases; Jennifer DeCuir - Centers for Disease Control and Prevention; Diya Surie - National Center for Immunization and Respiratory Diseases; Diya Surie - Centers for Disease Control and Prevention; Sascha Ellington - National Center for Immunization and Respiratory Diseases; Sascha Ellington - Centers for Disease Control and Prevention; Wesley H Self - Vanderbilt University Medical Center",,0000-0001-5071-3875; 0000-0001-6924-9494; 0000-0001-6985-8070; 0000-0001-7088-9640; 0000-0001-7791-049X; 0000-0001-7952-5384; 0000-0001-8376-8709; 0000-0001-9849-1634; 0000-0001-9915-0591; 0000-0002-0977-290X; 0000-0002-1677-3994; 0000-0002-3952-9230; 0000-0002-4254-8475; 0000-0002-5148-4872; 0000-0002-5272-2289; 0000-0002-5584-5006; 0000-0002-6062-9869; 0000-0002-6381-1826; 0000-0002-7136-5408; 0000-0002-7365-5265; 0000-0002-7382-7864; 0000-0002-7824-6276; 0000-0002-8211-7629; 0000-0002-9300-3045; 0000-0002-9640-7133; 0000-0003-0141-1760; 0000-0003-1206-6261; 0000-0003-1730-234X; 0000-0003-2325-206X; 0000-0003-3091-632X; 0000-0003-3508-4390; 0000-0003-3931-1423; 0000-0003-4220-2359
"<i>Notes from the Field</i>: Firearm Suicide Rates, by Race and Ethnicity — United States, 2019–2022",10.15585/mmwr.mm7248a3,MMWR. Morbidity and Mortality Weekly Report,12/1/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Age-Adjusted Percentage* of Adults Aged ≥18 Years Who Received an Influenza Vaccination During the Past 12 Months,† by Sex and Race and Ethnicity§ — National Health Interview Survey, United States, 2022",10.15585/mmwr.mm7248a5,MMWR. Morbidity and Mortality Weekly Report,12/1/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"SARS-CoV-2 Epidemiology and COVID-19 mRNA Vaccine Effectiveness Among Infants and Children Aged 6 Months–4 Years — New Vaccine Surveillance Network, United States, July 2022–September 2023",10.15585/mmwr.mm7248a2,MMWR. Morbidity and Mortality Weekly Report,12/1/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Mortality Among Children Aged &lt;5 Years Living with HIV Who Are Receiving Antiretroviral Treatment — U.S. President’s Emergency Plan for AIDS Relief, 28 Supported Countries and Regions, October 2020–September 2022",10.15585/mmwr.mm7248a1,MMWR. Morbidity and Mortality Weekly Report,12/1/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Evaluating event-based surveillance capacity in Africa: Use of the Africa CDC scorecard, 2022–2023",10.1016/j.pmedr.2023.102398,Preventive Medicine Reports,12/1/2023,2,journal-article,Elsevier BV,Kyeng Mercy Tetuh - Africa Centres for Disease Control and Prevention; Stephanie J Salyer - Centers for Disease Control and Prevention; Stephanie J Salyer - Africa Centres for Disease Control and Prevention; Dativa Maria Aliddeki - Africa Centres for Disease Control and Prevention; Bethelhem Tibebu - Africa Centres for Disease Control and Prevention; Fatma Osman - Africa Centres for Disease Control and Prevention; Franck Chi Amabo - Africa Centres for Disease Control and Prevention; Leocadia Kwagonza Warren - Africa Centres for Disease Control and Prevention; Maryam Ibrahim Buba - Africa Centres for Disease Control and Prevention; Yenew Kebede - Africa Centres for Disease Control and Prevention,,
"<i>Notes from the Field:</i> The National Wastewater Surveillance System’s Centers of Excellence Contributions to Public Health Action During the Respiratory Virus Season — Four U.S. Jurisdictions, 2022–23",10.15585/mmwr.mm7248a4,MMWR. Morbidity and Mortality Weekly Report,12/1/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
Laboratory-acquired infections and pathogen escapes worldwide between 2000 and 2021: a scoping review,10.1016/s2666-5247(23)00319-1,The Lancet Microbe,12/1/2023,1,journal-article,Elsevier BV,Sandhya Dhawan - Mahidol Oxford Tropical Medicine Research Unit; Sandhya Dhawan - Mahidol University; Marina Kusumoto - Mahidol Oxford Tropical Medicine Research Unit; Marina Kusumoto - Mahidol University; Khanh Lě - Mahidol Oxford Tropical Medicine Research Unit; Khanh Lě - Mahidol University; Kathrin Summermatter - University of Bern; Joseph O’Keefe - Ministry for Primary Industries; Joseph P Kozlovac - Agricultural Research Service; Anthony Ahumibe - Nigeria Centre for Disease Control; Zibusiso M Masuku - National Health Laboratory Service; Kazunobu Kojima - World Health Organization - Pakistan; David R Harper - Chatham House; Keith Hamilton - World Organisation for Animal Health,,0000-0001-5014-4190; 0000-0001-5519-5966; 0000-0001-6576-726X; 0000-0002-1077-075X; 0000-0002-4651-4424; 0000-0002-4902-9635; 0000-0002-6073-9064
"<i>Notes from the Field:</i> House-to-House Campaign Administration of Inactivated Poliovirus Vaccine — Sokoto State, Nigeria, November 2022",10.15585/mmwr.mm7247a3,MMWR. Morbidity and Mortality Weekly Report,11/24/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"A Cluster of Ocular Syphilis Cases with a Common Sex Partner — Southwest Michigan, 2022",10.15585/mmwr.mm7247a1,MMWR. Morbidity and Mortality Weekly Report,11/24/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> Diagnosis of Congenital Syphilis and Syphilis Among Females of Reproductive Age Before and During the COVID-19 Pandemic — Chicago, 2015–2022",10.15585/mmwr.mm7247a2,MMWR. Morbidity and Mortality Weekly Report,11/24/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Percentage* of Adults Aged ≥18 Years Who Rarely or Never Get the Social and Emotional Support They Need,† by Sex and Disability Status§ — National Health Interview Survey,¶ United States, 2021",10.15585/mmwr.mm7247a4,MMWR. Morbidity and Mortality Weekly Report,11/24/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Fatal Occupational Asthma in Cannabis Production — Massachusetts, 2022",10.15585/mmwr.mm7246a2,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Percentage* of Children and Adolescents Aged 4–17 Years Who Practiced Yoga During the Past 12 Months,† by Sex and Age Group — National Health Interview Survey,§ United States, 2022",10.15585/mmwr.mm7246a6,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Vital Signs</i>: Missed Opportunities for Preventing Congenital Syphilis — United States, 2022",10.15585/mmwr.mm7246e1,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,4,journal-article,Centers for Disease Control MMWR Office,,,
"Trends in the Prevalence of Chronic Obstructive Pulmonary Disease Among Adults Aged ≥18 Years — United States, 2011–2021",10.15585/mmwr.mm7246a1,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field</i>: Surveillance of Silicosis Using Electronic Case Reporting — California, December 2022–July 2023",10.15585/mmwr.mm7246a4,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> A Cluster of Multi-Strain Invasive Pneumococcal Disease Among Persons Experiencing Homelessness and Use of Pneumococcal Conjugate Vaccine — El Paso County, Colorado, 2022",10.15585/mmwr.mm7246a5,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Progress Toward Measles Elimination — Worldwide, 2000–2022",10.15585/mmwr.mm7246a3,MMWR. Morbidity and Mortality Weekly Report,11/17/2023,5,journal-article,Centers for Disease Control MMWR Office,,,
Building Integrated Testing Programs for Infectious Diseases,10.1093/infdis/jiad103,Journal of Infectious Diseases,11/11/2023,2,journal-article,Oxford University Press (OUP),George Alemnji - United States Department of State; George Alemnji - Centers for Disease Control and Prevention; Fausta Mosha - World Health Organization - Zimbabwe; Paolo Maggiore - Clinton Health Access Initiative; Heather Alexander - Centers for Disease Control and Prevention; Yenew Kebede - Africa Centres for Disease Control and Prevention; Appolinaire Tiam - Elizabeth Glaser Pediatric AIDS Foundation; Dianna Edgil - United States Agency for International Development; Smiljka de Lussigny - Unitaid; Trevor Peter - Clinton Health Access Initiative,,
"Influenza and Up-to-Date COVID-19 Vaccination Coverage Among Health Care Personnel — National Healthcare Safety Network, United States, 2022–23 Influenza Season",10.15585/mmwr.mm7245a5,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Strain of Multidrug-Resistant <i>Salmonella</i> Newport Remains Linked to Travel to Mexico and U.S. Beef Products — United States, 2021–2022",10.15585/mmwr.mm7245a3,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
Clinical Practice Guideline for the Evaluation and Treatment of Children and Adolescents With Obesity,10.1542/peds.2022-060640,American Academy of Pediatrics (AAP),11/10/2023,1,works,American Academy of Pediatrics (AAP),Sarah Hampl - University of Missouri–Kansas City; Sarah Hampl - Center for Children; Sandra G Hassink - American Academy of Pediatrics; Asheley Cockrell Skinner - Duke University; Sarah Armstrong - Clinical Research Institute; Sarah Armstrong - Duke University; Sarah E Barlow - Children's Medical Center; Sarah E Barlow - The University of Texas Southwestern Medical Center; Christopher Bolling - University of Cincinnati Medical Center; Kimberly C Avila Edwards - The University of Texas at Austin; Ihuoma Eneli - Nationwide Children's Hospital; Ihuoma Eneli - The Ohio State University; Robin Hamre - Centers for Disease Control and Prevention; Madeline Joseph - Florida College; Madeline Joseph - Jacksonville University; Madeline Joseph - University of Florida Health Science Center; Doug Lunsford - House of Representatives; Eneida A Mendonça - Indiana University – Purdue University Indianapolis; Marc P Michalsky - Nationwide Children's Hospital; Marc P Michalsky - The Ohio State University; Nazrat Mirza - George Washington University Hospital; Eduardo Ochoa - Arkansas Children's Hospital; Eduardo Ochoa - University of Arkansas for Medical Sciences; Mona Sharifi - Yale University; Amanda E Staiano - Pennington Biomedical Research Center; Amanda E Staiano - Louisiana State University; Ashley Weedn - University of Oklahoma Health Sciences Center; Jeanne Lindros - American Academy of Pediatrics; Kymika Okechukwu - American Academy of Pediatrics,,0000-0001-7846-046X; 0000-0002-1632-7038; 0000-0002-1672-2126; 0000-0002-2852-8427; 0000-0002-4436-7141; 0000-0002-5938-4411; 0000-0002-7119-3634; 0000-0002-7737-9181; 0000-0003-4297-9221; 0000-0003-4745-5646
"Declines in Influenza Vaccination Coverage Among Health Care Personnel in Acute Care Hospitals During the COVID-19 Pandemic — United States, 2017–2023",10.15585/mmwr.mm7245a6,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Arthritis Prevalence Among Veterans — United States, 2017–2021",10.15585/mmwr.mm7245a1,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Progress Toward Eradication of Dracunculiasis — Worldwide, January 2022–June 2023",10.15585/mmwr.mm7245a4,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Percentage* of Adults Aged ≥18 Years Who Felt Very Tired or Exhausted Most Days or Every Day in the Past 3 Months,† by Sex and Age Group — National Health Interview Survey,§ United States, 2022",10.15585/mmwr.mm7245a7,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Coverage with Selected Vaccines and Exemption from School Vaccine Requirements Among Children in Kindergarten — United States, 2022–23 School Year",10.15585/mmwr.mm7245a2,MMWR. Morbidity and Mortality Weekly Report,11/10/2023,10,journal-article,Centers for Disease Control MMWR Office,,,
"Tuberculosis Testing and Latent Tuberculosis Infection Treatment Practices Among Health Care Providers — United States, 2020–2022",10.15585/mmwr.mm7244a2,MMWR. Morbidity and Mortality Weekly Report,11/3/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Percentage* of Adults Who Used the Internet in the Past 12 Months to Communicate with a Doctor or Doctor's Office,† by Urbanization Level§ — National Health Interview Survey, United States, July–December 2022¶",10.15585/mmwr.mm7244a5,MMWR. Morbidity and Mortality Weekly Report,11/3/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"CDC Recommendations for Hepatitis C Testing Among Perinatally Exposed Infants and Children — United States, 2023",10.15585/mmwr.rr7204a1,MMWR. Recommendations and Reports,11/3/2023,2,journal-article,Centers for Disease Control MMWR Office,,,
"Vaccination Coverage by Age 24 Months Among Children Born in 2019 and 2020 — National Immunization Survey-Child, United States, 2020–2022",10.15585/mmwr.mm7244a3,MMWR. Morbidity and Mortality Weekly Report,11/3/2023,2,journal-article,Centers for Disease Control MMWR Office,Holly A Hill - National Center for Immunization and Respiratory Diseases; David Yankey - National Center for Immunization and Respiratory Diseases; Laurie D Elam–Evans - National Center for Immunization and Respiratory Diseases; Michael Chen - National Center for Immunization and Respiratory Diseases; James A Singleton - National Center for Immunization and Respiratory Diseases,,
"<i>Vital Signs: </i>Health Worker–Perceived Working Conditions and Symptoms of Poor Mental Health — Quality of Worklife Survey, United States, 2018–2022",10.15585/mmwr.mm7244e1,MMWR. Morbidity and Mortality Weekly Report,11/3/2023,5,journal-article,Centers for Disease Control MMWR Office,,,
"Tobacco Product Use Among U.S. Middle and High School Students — National Youth Tobacco Survey, 2023",10.15585/mmwr.mm7244a1,MMWR. Morbidity and Mortality Weekly Report,11/3/2023,6,journal-article,Centers for Disease Control MMWR Office,,,
"Interpretation of molecular detection of avian influenza A virus in respiratory specimens collected from live bird market workers in Dhaka, Bangladesh: infection or contamination?",10.1016/j.ijid.2023.08.020,International Journal of Infectious Diseases,11/1/2023,3,journal-article,Elsevier BV,"Md Zakiul Hassan - International Centre for Diarrhoeal Disease Research; Dr Katharine Sturm-Ramirez - Centers for Disease Control and Prevention; Dr Md Saiful Islam - UNSW Sydney; Dr Sadia Afreen - International Centre for Diarrhoeal Disease Research; Durdana Rahman - International Centre for Diarrhoeal Disease Research; Durdana Rahman - Institute of Epidemiology, Disease Control and Research; Mohammad Abdullah Heel Kafi - Public Health Ontario; Mohammad Abdullah Heel Kafi - University of Toronto; Dr Sukanta Chowdhury - International Centre for Diarrhoeal Disease Research; Salah Ud‐Din Khan - International Centre for Diarrhoeal Disease Research; Sharifa Nasreen - International Centre for Diarrhoeal Disease Research; Sharifa Nasreen - University of British Columbia; Daniel Davis - Centers for Disease Control and Prevention; David Levine - Centers for Disease Control and Prevention; Dr Stephen P Luby - Stanford University; Dr Eduardo Azziz-Baumgartner - Centers for Disease Control and Prevention; A Danielle Iuliano - Centers for Disease Control and Prevention; Timothy M Uyeki - Centers for Disease Control and Prevention; Dr Emily S Gurley - International Centre for Diarrhoeal Disease Research; Dr Emily S Gurley - Johns Hopkins University",,0000-0001-5338-8668; 0000-0001-5888-1558; 0000-0001-5928-9257; 0000-0001-8742-3687; 0000-0002-1560-1955; 0000-0002-9793-113X
"<i>QuickStats:</i> Percentage* of Children and Adolescents Aged 5–17 Years Who Took Medication for Their Mental Health or Received Counseling or Therapy from a Mental Health Professional During the Past 12 Months,† by Year — National Health Interview Survey,§ United States, 2019 and 2022",10.15585/mmwr.mm7243a5,MMWR. Morbidity and Mortality Weekly Report,10/27/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Early Detection and Surveillance of the SARS-CoV-2 Variant BA.2.86 — Worldwide, July–October 2023",10.15585/mmwr.mm7243a2,MMWR. Morbidity and Mortality Weekly Report,10/27/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field</i>: Early Identification of the SARS-CoV-2 Omicron BA.2.86 Variant by the Traveler-Based Genomic Surveillance Program — Dulles International Airport, August 2023",10.15585/mmwr.mm7243a3,MMWR. Morbidity and Mortality Weekly Report,10/27/2023,3,journal-article,Centers for Disease Control MMWR Office,,,
"Routine Vaccination Coverage — Worldwide, 2022",10.15585/mmwr.mm7243a1,MMWR. Morbidity and Mortality Weekly Report,10/27/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
Visualizing the NIOSH Pocket Guide: open-source web application for accessing and exploring the NIOSH Pocket Guide to Chemical Hazards,10.1080/15459624.2023.2267098,Informa UK Limited,10/24/2023,1,works,Informa UK Limited,L Lucas - Harvard University; Christine Whittaker - National Institute for Occupational Safety and Health; A John Bailer - Miami University,,
"Centering Data Sovereignty, Tribal Values, and Practices for Equity in American Indian and Alaska Native Public Health Systems",10.1177/00333549231199477,Public Health Reports,10/21/2023,3,journal-article,SAGE Publications,"Abigail Echo‐Hawk - Seattle Indian Health Board; Jordan Lewis - University of Minnesota, Duluth; Vanesscia L Cresci - United States Department of Commerce; Delight E Satter - Office of Tribal Affairs and Strategic Alliances; Delight E Satter - Centers for Disease Control and Prevention; Denise A Dillard - Washington State University",,
"<i>QuickStats:</i> Rate* of Emergency Department Visits,† by Homeless Status§ — National Hospital Ambulatory Medical Care Survey, United States, 2010–2021",10.15585/mmwr.mm7242a6,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Progress Toward Measles and Rubella Elimination — Indonesia, 2013–2022",10.15585/mmwr.mm7242a2,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field: Mycobacterium abscessus</i> Outbreak Related to Contaminated Water Among Ventilator-Dependent Residents of a Pediatric Facility ― Pennsylvania, 2022",10.15585/mmwr.mm7242a5,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> Severe <i>Bartonella quintana</i> Infections Among Persons Experiencing Unsheltered Homelessness — New York City, January 2020–December 2022",10.15585/mmwr.mm7242a3,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> Firearm Homicide Rates, by Race and Ethnicity — United States, 2019–2022",10.15585/mmwr.mm7242a4,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Use of Updated COVID-19 Vaccines 2023–2024 Formula for Persons Aged ≥6 Months: Recommendations of the Advisory Committee on Immunization Practices — United States, September 2023",10.15585/mmwr.mm7242e1,MMWR. Morbidity and Mortality Weekly Report,10/20/2023,6,journal-article,Centers for Disease Control MMWR Office,,,
